PPL,ADVI (run),HMC (run),NUTS (run),ADVI (compile),HMC (compile),NUTS (compile)
stan,2.3,23.3,99.0,52.3,52.3,52.3
turing,5.0,78.0,435.0,8.5,19.5,14.3
tfp,3.0,14.4,51.4,0.0,8.8,16.3
pyro,17.0,381.0,3346.0,0.0,0.0,0.0
numpyro,NA,9.0,30.0,NA,7.2,2.6
