PPL,ADVI (run),HMC (run),NUTS (run),ADVI (compile),HMC (compile),NUTS (compile)
stan,2.3,23.3,99.0,52.3,52.3,52.3
turing,7.0,116.0,676.0,7.9,18.5,10.3
tfp,3.0,14.4,51.4,0.0,8.8,16.3
pyro,8.0,178.0,1106.0,0.0,0.0,0.0
numpyro,NA,9.0,30.0,NA,7.2,2.6
